,x,y,delta_x,delta_y,distances,speed,energy,momentum
0,1860.0,1666.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1862.0,1657.0,737.0,811.0,21.095023109728988,43.83405069121493,960.7119999999999,43.83405069121493
2,1162.0,1410.0,-267.0,468.0,23.08679276123039,21.552280621781073,232.25039999999996,21.552280621781073
3,1138.0,1407.0,-57.0,814.0,6.324555320336759,32.639730391043365,532.6759999999999,32.639730391043365
4,1950.0,1794.0,-592.0,-643.0,14.866068747318506,34.96084667166972,611.1303999999999,34.96084667166972
5,914.0,1880.0,-534.0,367.0,19.4164878389476,25.91817894837521,335.876,25.91817894837521
6,656.0,1863.0,454.0,79.0,15.231546211727817,18.432883659373537,169.88559999999998,18.432883659373537
7,1912.0,1801.0,-556.0,1229.0,27.202941017470888,53.95667891929599,1455.6616000000001,53.95667891929599
8,910.0,1848.0,6.0,2.0,6.324555320336759,0.2529822128134704,0.03200000000000001,0.2529822128134704
9,1128.0,436.0,1098.0,864.0,6.4031242374328485,55.88702890653609,1561.68,55.88702890653609
10,659.0,1866.0,-74.0,819.0,19.235384061671343,32.89345223596939,540.9895999999999,32.89345223596939
11,1192.0,1335.0,-783.0,-221.0,11.40175425099138,32.54363224964294,529.544,32.54363224964294
12,1417.0,677.0,-450.0,-1125.0,12.0,48.46648326421054,1174.5,48.46648326421054
13,819.0,917.0,406.0,-1236.0,4.123105625617661,52.03893926666838,1354.0256,52.03893926666838
14,1160.0,386.0,272.0,262.0,17.08800749063506,15.106448954006364,114.10239999999999,15.106448954006364
15,1810.0,1799.0,-311.0,357.0,35.22782990761707,18.938637754601043,179.336,18.938637754601043
16,913.0,1796.0,-749.0,18.0,16.0,29.968650286591156,449.0600000000001,29.968650286591156
17,1039.0,1109.0,11.0,-469.0,8.06225774829855,18.765159205293195,176.06559999999996,18.765159205293195
18,1294.0,825.0,74.0,135.0,14.035668847618199,6.158051639926382,18.9608,6.158051639926382
19,1080.0,1833.0,436.0,1099.0,15.264337522473747,47.29307771756878,1118.3176000000003,47.29307771756878
20,1016.0,1160.0,62.0,-105.0,9.055385138137417,4.877540363748926,11.895200000000003,4.877540363748926
21,927.0,1507.0,-1311.0,-326.0,7.0710678118654755,54.03697993041432,1459.9976,54.03697993041432
22,1002.0,1197.0,-730.0,-800.0,7.0710678118654755,43.32020313895123,938.3199999999999,43.32020313895123
23,1880.0,1508.0,-317.0,835.0,34.0147027033899,35.72593455740521,638.1711999999999,35.72593455740521
24,696.0,1879.0,-24.0,365.0,11.045361017187261,14.631527603090525,107.04079999999999,14.631527603090525
25,1217.0,299.0,543.0,-479.0,15.811388300841896,28.96314900006558,419.4319999999999,28.96314900006558
26,919.0,1560.0,38.0,-531.0,3.605551275463989,21.29431849109053,226.72400000000002,21.29431849109053
27,877.0,1372.0,887.0,280.0,7.0710678118654755,37.2057844965,692.1351999999999,37.2057844965
28,1103.0,712.0,273.0,906.0,11.704699910719626,37.84949141005728,716.292,37.84949141005728
29,944.0,1772.0,-371.0,-946.0,9.219544457292887,40.6459247649749,826.0455999999999,40.6459247649749
30,560.0,963.0,1415.0,268.0,7.615773105863909,57.60623577356883,1659.2392000000004,57.60623577356883
31,552.0,966.0,27.0,291.0,8.06225774829855,11.689995722839251,68.32799999999999,11.689995722839251
32,781.0,927.0,-172.0,126.0,23.600847442411894,8.528540320594141,36.36800000000001,8.528540320594141
33,1059.0,724.0,460.0,754.0,9.433981132056603,35.32967025037171,624.0928,35.32967025037171
34,712.0,404.0,267.0,-434.0,8.94427190999916,20.38214905254105,207.71599999999998,20.38214905254105
35,702.0,1433.0,-668.0,-318.0,16.55294535724685,29.593188405442223,437.8784,29.593188405442223
36,772.0,1849.0,1096.0,-52.0,8.54400374531753,43.889315328448674,963.1359999999999,43.889315328448674
37,914.0,1519.0,213.0,38.0,8.06225774829855,8.654524828088483,37.450399999999995,8.654524828088483
38,729.0,428.0,-41.0,-172.0,8.54400374531753,7.07276466454243,25.011999999999997,7.07276466454243
39,485.0,979.0,381.0,-845.0,23.08679276123039,37.07691465049378,687.3488,37.07691465049378
40,839.0,1116.0,-290.0,523.0,18.027756377319946,23.920836105788613,286.1032000000001,23.920836105788613
41,558.0,1308.0,-137.0,-52.0,13.152946437965905,5.861467393068053,17.1784,5.861467393068053
42,903.0,811.0,431.0,429.0,19.4164878389476,24.324539050103294,295.8416,24.324539050103294
43,1065.0,740.0,-653.0,521.0,19.72308292331602,33.41496670655232,558.28,33.41496670655232
44,945.0,1677.0,-61.0,-988.0,5.0,39.59525224064117,783.8919999999999,39.59525224064117
45,1702.0,1586.0,-616.0,492.0,17.46424919657298,31.534615900625777,497.21600000000007,31.534615900625777
46,873.0,1851.0,126.0,1403.0,2.23606797749979,56.34586054006097,1587.4279999999999,56.34586054006097
47,1029.0,1897.0,-84.0,-240.0,3.0,10.171017648200204,51.7248,10.171017648200204
48,1032.0,1896.0,-225.0,-88.0,17.4928556845359,9.663870860064304,46.69519999999999,9.663870860064304
49,939.0,1643.0,-70.0,185.0,14.560219778561036,7.912016177940993,31.3,7.912016177940993
50,743.0,450.0,-776.0,1162.0,6.082762530298219,55.89160938817203,1561.936,55.89160938817203
51,666.0,1029.0,835.0,143.0,8.54400374531753,33.886256801246134,574.1392,33.886256801246134
52,522.0,981.0,-452.0,-785.0,4.47213595499958,36.23322232427031,656.4232000000001,36.23322232427031
53,707.0,828.0,-237.0,-306.0,3.605551275463989,15.481860353329635,119.84400000000001,15.481860353329635
54,980.0,1754.0,289.0,-1390.0,5.385164807134504,56.78902710911678,1612.4968000000003,56.78902710911678
55,981.0,1748.0,79.0,-1150.0,3.1622776601683795,46.108411380137575,1062.9928000000002,46.108411380137575
56,937.0,800.0,-99.0,340.0,10.0,14.164801445837496,100.3208,14.164801445837496
57,1954.0,946.0,109.0,238.0,12.041594578792296,10.47091209016674,54.82000000000001,10.47091209016674
58,695.0,442.0,402.0,560.0,1.0,27.574016754908957,380.16319999999996,27.574016754908957
59,1060.0,1059.0,291.0,-11.0,20.248456731316587,11.648313182602879,67.8416,11.648313182602879
60,1687.0,1775.0,479.0,-738.0,11.180339887498949,35.19284018092316,619.2679999999999,35.19284018092316
61,557.0,1834.0,1013.0,86.0,5.0990195135927845,40.66575955272445,826.852,40.66575955272445
