,x,y,delta_x,delta_y,distances,speed,energy,momentum
0,663.0,1143.0,0.0,0.0,0.0,0.0,0.0,0.0
1,671.0,1149.0,8.0,6.0,10.0,0.4,0.08000000000000002,0.4
2,678.0,1154.0,0.0,714.0,7.280109889280518,28.56,407.8368,28.56
3,1131.0,888.0,-989.0,7.0,10.770329614269007,39.560990887489154,782.536,39.560990887489154
4,985.0,1793.0,826.0,-618.0,5.0990195135927845,41.264027917788155,851.3600000000001,41.264027917788155
5,1578.0,546.0,-774.0,-1221.0,12.36931687685298,57.82618092179355,1671.9336000000003,57.82618092179355
6,707.0,1182.0,400.0,-127.0,6.708203932499369,16.787090277948707,140.9032,16.787090277948707
7,1103.0,950.0,756.0,-527.0,0.0,36.862229992229175,679.412,36.862229992229175
8,557.0,1580.0,-353.0,-132.0,15.652475842498529,15.074906301533021,113.62639999999999,15.074906301533021
9,911.0,1840.0,580.0,-1229.0,8.06225774829855,54.35941132867427,1477.4728000000002,54.35941132867427
10,912.0,1832.0,-35.0,546.0,8.0,21.884825793229425,239.47279999999995,21.884825793229425
11,1887.0,1567.0,458.0,-704.0,13.601470508735444,33.594761496400004,564.3040000000001,33.594761496400004
12,1145.0,406.0,892.0,-99.0,14.560219778561036,35.899080768175665,644.372,35.899080768175665
13,1350.0,1309.0,222.0,-297.0,19.72308292331602,14.832019417463018,109.9944,14.832019417463018
14,665.0,1876.0,678.0,581.0,13.92838827718412,35.71543083878451,637.7959999999999,35.71543083878451
15,826.0,1350.0,-1127.0,-338.0,13.341664064126334,47.063752506573465,1107.4984,47.063752506573465
16,532.0,1254.0,218.0,183.0,10.770329614269007,11.385113086834052,64.81039999999999,11.385113086834052
17,842.0,898.0,1281.0,-62.0,8.246211251235321,51.29998050681891,1315.8440000000003,51.29998050681891
18,1613.0,1167.0,581.0,-886.0,8.246211251235321,42.38031618570111,898.0455999999998,42.38031618570111
19,1295.0,1274.0,165.0,504.0,10.816653826391969,21.212864021626125,224.99280000000005,21.212864021626125
20,643.0,912.0,616.0,61.0,17.08800749063506,24.76051695744659,306.5416000000001,24.76051695744659
21,1907.0,1380.0,276.0,-64.0,9.219544457292887,11.33292548285746,64.2176,11.33292548285746
22,514.0,1251.0,-468.0,-856.0,20.09975124224178,39.02327510601846,761.408,39.02327510601846
23,888.0,1892.0,63.0,279.0,9.486832980505138,11.440978979090906,65.448,11.440978979090906
24,1210.0,306.0,226.0,-345.0,5.385164807134504,16.49732099463425,136.0808,16.49732099463425
25,885.0,857.0,525.0,729.0,14.317821063276353,35.934740850603056,645.6528000000001,35.934740850603056
26,818.0,1483.0,-528.0,640.0,13.038404810405298,33.18756393590829,550.7072000000002,33.18756393590829
27,716.0,1552.0,-512.0,644.0,15.231546211727817,32.909086891009295,541.5039999999999,32.909086891009295
28,1227.0,283.0,-178.0,-393.0,3.0,17.257253547421733,148.9064,17.257253547421733
29,827.0,1502.0,1122.0,-151.0,23.706539182259394,45.28461107263703,1025.348,45.28461107263703
30,787.0,946.0,121.0,270.0,14.035668847618199,11.834931347498387,70.0328,11.834931347498387
31,1237.0,273.0,444.0,1121.0,5.385164807134504,48.22907007189751,1163.0216,48.22907007189751
32,953.0,1771.0,381.0,-1153.0,2.23606797749979,48.572749561868534,1179.656,48.572749561868534
33,954.0,1770.0,-48.0,-263.0,6.324555320336759,10.693773889511597,57.178399999999996,10.693773889511597
34,1478.0,1853.0,-826.0,419.0,24.698178070456937,37.04779615577693,686.2695999999999,37.04779615577693
35,894.0,1516.0,645.0,143.0,22.847319317591726,26.426471576811004,349.1791999999999,26.426471576811004
36,964.0,1769.0,-892.0,-32.0,13.341664064126334,35.70295225888189,637.3503999999998,35.70295225888189
37,1777.0,1557.0,462.0,540.0,3.605551275463989,28.426579111810128,404.0351999999999,28.426579111810128
38,638.0,1450.0,920.0,893.0,8.246211251235321,51.28506995218004,1315.0792,51.28506995218004
39,671.0,1639.0,-318.0,651.0,8.54400374531753,28.980683221759975,419.94000000000005,28.980683221759975
40,1047.0,739.0,-13.0,3.0,13.341664064126334,0.5336665625650534,0.14240000000000003,0.5336665625650534
41,971.0,1789.0,165.0,781.0,20.615528128088304,31.929572499487055,509.7488,31.929572499487055
42,1491.0,1307.0,-244.0,513.0,17.029386365926403,22.722851933681213,258.164,22.722851933681213
43,1475.0,1308.0,-295.0,-31.0,5.830951894845301,11.864973662001951,70.38879999999999,11.864973662001951
44,850.0,1847.0,-356.0,610.0,5.0,28.251329172270815,399.06879999999995,28.251329172270815
45,1966.0,1111.0,-1.0,-5.0,5.0990195135927845,0.2039607805437114,0.0208,0.2039607805437114
46,699.0,1372.0,-1069.0,-301.0,11.40175425099138,44.42273291908097,986.6896,44.42273291908097
47,1082.0,741.0,-86.0,555.0,5.0,22.46494157570858,252.33679999999993,22.46494157570858
48,494.0,982.0,-379.0,-559.0,7.0710678118654755,27.01472191232033,364.89760000000007,27.01472191232033
49,629.0,1722.0,50.0,-558.0,21.400934559032695,22.409426587933925,251.09119999999996,22.409426587933925
50,905.0,1881.0,-1213.0,-592.0,23.021728866442675,53.99011761424493,1457.4664000000002,53.99011761424493
51,1644.0,1607.0,-435.0,-334.0,7.0710678118654755,21.937401851632295,240.62480000000002,21.937401851632295
52,932.0,1620.0,108.0,241.0,16.492422502470642,10.563711468986646,55.79600000000001,10.563711468986646
53,1110.0,735.0,891.0,168.0,14.422205101855956,36.2680024263813,657.684,36.2680024263813
54,1799.0,1695.0,-54.0,-152.0,12.041594578792296,6.452286416457348,20.816000000000003,6.452286416457348
