,x,y,delta_x,delta_y,distances,speed,energy,momentum
0,811.0,739.0,0.0,0.0,0.0,0.0,0.0,0.0
1,803.0,749.0,-917.0,-445.0,18.681541692269406,40.770852333499235,831.1312,40.770852333499235
2,1751.0,1203.0,366.0,11.0,10.63014581273465,14.646610529402357,107.2616,14.646610529402357
3,1364.0,1296.0,172.0,-508.0,8.54400374531753,21.45313030771966,230.11839999999995,21.45313030771966
4,779.0,779.0,204.0,-279.0,10.198039027185569,13.825020795644395,95.56559999999999,13.825020795644395
5,1870.0,1624.0,-1532.0,212.0,12.041594578792296,61.863953963515776,1913.5743999999997,61.863953963515776
6,1351.0,948.0,-372.0,1317.0,12.806248474865697,54.74118011150289,1498.2984,54.74118011150289
7,1412.0,1336.0,-197.0,1385.0,12.649110640673518,55.9576125294852,1565.6271999999997,55.9576125294852
8,1005.0,1795.0,-217.0,131.0,7.280109889280518,10.13903348450926,51.4,10.13903348450926
9,728.0,1210.0,85.0,-283.0,8.0,11.819576980586064,69.85119999999998,11.819576980586064
10,1016.0,1798.0,47.0,339.0,5.830951894845301,13.68970416042655,93.70399999999998,13.68970416042655
11,1871.0,1233.0,1228.0,-299.0,2.23606797749979,50.5550788744316,1277.9080000000001,50.5550788744316
12,1171.0,1338.0,1149.0,330.0,13.038404810405298,47.81800497720497,1143.2807999999998,47.81800497720497
13,826.0,1328.0,-979.0,252.0,9.219544457292887,40.43651814882187,817.5560000000002,40.43651814882187
14,1337.0,1303.0,-90.0,-284.0,20.09975124224178,11.91677808805719,71.0048,11.91677808805719
15,1494.0,355.0,1295.0,513.0,11.40175425099138,55.716338716753455,1552.1552,55.716338716753455
16,935.0,1454.0,-818.0,105.0,10.04987562112089,32.988458587815224,544.1192,32.988458587815224
17,698.0,1221.0,389.0,935.0,10.0,40.50769803383056,820.4368,40.50769803383056
18,1075.0,1827.0,-476.0,594.0,31.32091952673165,30.447646871310102,463.5295999999999,30.447646871310102
19,653.0,295.0,-1292.0,327.0,6.082762530298219,53.309556366565275,1420.9544,53.309556366565275
20,1898.0,1495.0,-1278.0,-1113.0,14.142135623730951,67.78853000323875,2297.6423999999997,67.78853000323875
21,635.0,1196.0,504.0,818.0,15.811388300841896,38.43206994165159,738.5119999999998,38.43206994165159
22,1887.0,1503.0,-88.0,604.0,19.697715603592208,24.415077308908934,298.04799999999994,24.415077308908934
23,993.0,1216.0,-574.0,55.0,16.1245154965971,23.065159873714293,266.00079999999997,23.065159873714293
24,1410.0,487.0,488.0,-1294.0,8.54400374531753,55.31842369410032,1530.0639999999996,55.31842369410032
25,921.0,1347.0,12.0,237.0,9.055385138137417,9.492144120271247,45.0504,9.492144120271247
26,1142.0,1883.0,11.0,1177.0,10.04987562112089,47.08205602987193,1108.36,47.08205602987193
27,1210.0,1218.0,1170.0,264.0,7.211102550927978,47.97659429346773,1150.8768,47.97659429346773
28,719.0,1552.0,4.0,807.0,33.28663395418648,32.28039652792388,521.012,32.28039652792388
29,1230.0,279.0,726.0,1109.0,5.0,53.020101848261284,1405.5656,53.020101848261284
30,1234.0,277.0,-3.0,-7.0,7.615773105863909,0.30463092423455634,0.046400000000000004,0.30463092423455634
31,514.0,1141.0,-1069.0,-548.0,17.46424919657298,48.05105617985935,1154.4519999999998,48.05105617985935
32,2012.0,1430.0,1289.0,839.0,10.0,61.51997399219216,1892.3536000000001,61.51997399219216
33,778.0,920.0,-700.0,27.0,15.297058540778355,28.02082083023265,392.58320000000003,28.02082083023265
34,1312.0,654.0,-189.0,-245.0,7.615773105863909,12.377140218968194,76.59680000000002,12.377140218968194
35,1796.0,1551.0,1039.0,-301.0,5.385164807134504,43.26887102756437,936.0975999999998,43.26887102756437
36,775.0,894.0,-172.0,-1101.0,10.44030650891055,44.574162919790204,993.428,44.574162919790204
37,1230.0,1843.0,-412.0,109.0,7.0710678118654755,17.046993869888027,145.29999999999998,17.046993869888027
38,788.0,1847.0,-78.0,-405.0,23.323807579381203,16.49770893184869,136.0872,16.49770893184869
39,1260.0,284.0,-323.0,1243.0,5.385164807134504,51.371244874929786,1319.5023999999999,51.371244874929786
40,1262.0,289.0,145.0,-174.0,13.038404810405298,9.059889624051719,41.0408,9.059889624051719
41,1167.0,1408.0,162.0,809.0,8.246211251235321,33.002424153386066,544.58,33.002424153386066
42,826.0,1846.0,839.0,140.0,18.027756377319946,34.024015048197946,578.8168000000002,34.024015048197946
