,x,y,delta_x,delta_y,distances,speed,energy,momentum
0,632.0,1282.0,0.0,0.0,0.0,0.0,0.0,0.0
1,623.0,1279.0,-362.0,-489.0,15.297058540778355,24.336474683076016,296.13199999999995,24.336474683076016
2,1632.0,379.0,-1308.0,-1290.0,13.416407864998739,73.48430036409138,2699.9712000000004,73.48430036409138
3,2060.0,1360.0,-1145.0,70.0,17.46424919657298,45.88550969532756,1052.74,45.88550969532756
4,657.0,1865.0,689.0,-560.0,2.0,35.5149771223353,630.6568,35.5149771223353
5,656.0,1864.0,664.0,-1345.0,11.0,59.998946657420575,1799.9367999999997,59.998946657420575
6,819.0,1349.0,1116.0,450.0,8.0,48.13241735047181,1158.3648,48.13241735047181
7,826.0,1349.0,-1448.0,-918.0,1.4142135623730951,68.57904052988785,2351.5424000000003,68.57904052988785
8,1837.0,1224.0,-945.0,-537.0,9.219544457292887,43.476780009563726,945.1152,43.476780009563726
9,1390.0,1329.0,1224.0,-277.0,1.4142135623730951,50.198087612975854,1259.924,50.198087612975854
10,1205.0,626.0,-1253.0,-1385.0,14.035668847618199,74.70725801419832,2790.5871999999995,74.70725801419832
11,856.0,1346.0,-11.0,-3.0,11.40175425099138,0.45607017003965516,0.10399999999999998,0.45607017003965516
12,942.0,1413.0,943.0,-22.0,7.0710678118654755,37.73026371495434,711.7864000000001,37.73026371495434
13,820.0,1897.0,1433.0,-202.0,7.0,57.8866893162841,1675.4343999999999,57.8866893162841
14,824.0,911.0,-1322.0,-509.0,14.035668847618199,56.66413327670335,1605.412,56.66413327670335
15,642.0,353.0,-393.0,823.0,18.027756377319946,36.48074560641545,665.4223999999999,36.48074560641545
16,672.0,1885.0,-374.0,-188.0,17.88854381999832,16.743715238859025,140.17599999999996,16.743715238859025
17,1777.0,1799.0,1058.0,-105.0,3.0,42.52790142953212,904.3112000000001,42.52790142953212
18,633.0,1575.0,-82.0,429.0,10.04987562112089,17.470661120862026,152.612,17.470661120862026
19,1635.0,1186.0,0.0,863.0,8.48528137423857,34.52,595.8152000000001,34.52
20,1194.0,335.0,-590.0,1477.0,17.88854381999832,63.61922979728692,2023.7032,63.61922979728692
21,825.0,1426.0,145.0,-711.0,8.246211251235321,29.02539577680208,421.23679999999996,29.02539577680208
22,689.0,1889.0,-558.0,1450.0,19.235384061671343,62.14645927162705,1931.0912,62.14645927162705
23,962.0,1339.0,-648.0,-322.0,11.661903789690601,28.943752348304805,418.87039999999996,28.943752348304805
24,816.0,989.0,690.0,471.0,20.223748416156685,33.41714529998037,558.3528,33.41714529998037
25,601.0,942.0,-30.0,-940.0,14.422205101855956,37.61914406256474,707.6000000000001,37.61914406256474
26,1887.0,1355.0,651.0,44.0,13.601470508735444,26.099409955016228,340.5896000000001,26.099409955016228
27,1382.0,536.0,475.0,1561.0,11.704699910719626,65.26678787867532,2129.8767999999995,65.26678787867532
28,1932.0,1381.0,240.0,-37.0,9.055385138137417,9.71341340621308,47.1752,9.71341340621308
29,790.0,953.0,413.0,-1221.0,10.198039027185569,51.55827770591256,1329.128,51.55827770591256
30,1175.0,1887.0,663.0,80.0,11.661903789690601,26.712364178409967,356.7752,26.712364178409967
31,1076.0,719.0,235.0,107.0,3.0,10.328523611823714,53.33919999999999,10.328523611823714
32,1240.0,270.0,-275.0,122.0,21.470910553583888,12.03388549056372,72.4072,12.03388549056372
33,1321.0,635.0,-285.0,204.0,7.615773105863909,14.019472172660423,98.27279999999999,14.019472172660423
34,930.0,814.0,-438.0,-917.0,6.324555320336759,40.649388679290126,826.1864000000002,40.649388679290126
35,776.0,903.0,-502.0,-875.0,8.54400374531753,40.351039639642494,814.1031999999999,40.351039639642494
36,1222.0,1848.0,188.0,866.0,9.055385138137417,35.44686163823252,628.2400000000001,35.44686163823252
37,985.0,1887.0,215.0,-480.0,9.433981132056603,21.038060747131613,221.29999999999998,21.038060747131613
38,1172.0,1355.0,97.0,-612.0,16.1245154965971,24.785576450831236,307.1624,24.785576450831236
39,1170.0,1374.0,-1016.0,597.0,8.54400374531753,47.13665240553258,1110.9320000000002,47.13665240553258
40,807.0,1846.0,160.0,484.0,22.825424421026653,20.39042912741171,207.88479999999996,20.39042912741171
41,1263.0,294.0,-489.0,569.0,7.0,30.01018493778404,450.3056,30.01018493778404
42,658.0,1664.0,-18.0,-5.0,18.681541692269406,0.7472616676907762,0.2792,0.7472616676907762
43,1012.0,1894.0,1146.0,-713.0,12.041594578792296,53.987924575778976,1457.3479999999997,53.987924575778976
44,1272.0,1812.0,694.0,497.0,11.180339887498949,34.14428209817861,582.916,34.14428209817861
45,944.0,1673.0,501.0,-778.0,18.384776310850235,37.01426751943094,685.028,37.01426751943094
46,996.0,1521.0,-415.0,585.0,17.11724276862369,28.69006796785257,411.56000000000006,28.69006796785257
47,487.0,982.0,329.0,575.0,3.0,26.498784877801473,351.0928,26.498784877801473
48,563.0,1098.0,286.0,-325.0,10.770329614269007,17.31685883756058,149.9368,17.31685883756058
49,1014.0,1517.0,-1173.0,-616.0,9.486832980505138,52.9963772346752,1404.308,52.9963772346752
50,972.0,1771.0,4.0,-1.0,4.123105625617661,0.1649242250247064,0.013599999999999998,0.1649242250247064
51,1343.0,1326.0,-615.0,-1056.0,8.94427190999916,48.88126021288731,1194.6888000000001,48.88126021288731
52,1834.0,1671.0,646.0,648.0,9.0,36.59989071021934,669.7760000000001,36.59989071021934
53,915.0,1889.0,649.0,323.0,15.524174696260024,28.997379191920086,420.424,28.997379191920086
54,1950.0,992.0,304.0,427.0,12.529964086141668,20.96644938944122,219.79600000000005,20.96644938944122
55,1044.0,1880.0,-66.0,518.0,18.867962264113206,20.887508228604005,218.144,20.887508228604005
56,980.0,1742.0,-2.0,-6.0,6.324555320336759,0.2529822128134704,0.03200000000000001,0.2529822128134704
57,1252.0,1350.0,6.0,0.0,6.0,0.24,0.0288,0.24
58,1325.0,1817.0,-426.0,-767.0,3.0,35.09450099374545,615.8120000000001,35.09450099374545
59,1262.0,405.0,-362.0,-600.0,10.198039027185569,28.029812700052066,392.83520000000004,28.029812700052066
60,1139.0,1595.0,907.0,-158.0,20.808652046684813,36.82636012423709,678.0903999999998,36.82636012423709
61,1332.0,1787.0,-118.0,1393.0,12.0,55.919556507540364,1563.4984,55.919556507540364
62,907.0,1524.0,-628.0,325.0,9.055385138137417,28.284525804757628,400.00720000000007,28.284525804757628
63,1632.0,1813.0,464.0,155.0,3.1622776601683795,19.56817824939256,191.45680000000002,19.56817824939256
