,x,y,delta_x,delta_y,distances,speed,energy,momentum
0,797.0,1891.0,0.0,0.0,0.0,0.0,0.0,0.0
1,803.0,1890.0,-1191.0,112.0,11.40175425099138,47.850182862764484,1144.82,47.850182862764484
2,783.0,1349.0,21.0,917.0,3.605551275463989,36.68961705987131,673.064,36.68961705987131
3,786.0,768.0,680.0,76.0,20.0,27.369355125760634,374.54079999999993,27.369355125760634
4,1176.0,564.0,-195.0,-77.0,10.04987562112089,8.38608371052901,35.163199999999996,8.38608371052901
5,1091.0,1404.0,-162.0,-331.0,22.090722034374522,14.740691978329918,108.644,14.740691978329918
6,1067.0,1405.0,572.0,-641.0,7.280109889280518,34.364283784185,590.452,34.364283784185
7,2096.0,1367.0,49.0,-372.0,10.816653826391969,15.008530907453933,112.62799999999999,15.008530907453933
8,836.0,1347.0,505.0,627.0,27.018512172212592,32.20320480945957,518.5232,32.20320480945957
9,993.0,1404.0,-1427.0,495.0,14.142135623730951,60.41660698847627,1825.0831999999998,60.41660698847627
10,2061.0,1374.0,-1145.0,-750.0,11.180339887498949,54.750707757982454,1498.82,54.750707757982454
11,1077.0,1009.0,442.0,-758.0,10.198039027185569,35.09821647890388,615.9423999999999,35.09821647890388
12,1890.0,1560.0,-322.0,357.0,20.0,19.23051741373591,184.90640000000005,19.23051741373591
13,890.0,1054.0,-74.0,273.0,10.04987562112089,11.314062046851255,64.004,11.314062046851255
14,886.0,1049.0,821.0,-541.0,6.082762530298219,39.328808779315956,773.3775999999999,39.328808779315956
15,1895.0,1534.0,971.0,-193.0,9.219544457292887,39.59979797928267,784.0719999999999,39.59979797928267
16,1061.0,1817.0,561.0,788.0,31.622776601683793,38.69191129939176,748.5319999999999,38.69191129939176
17,1072.0,1348.0,609.0,481.0,34.92849839314596,31.041700984321075,481.79359999999997,31.041700984321075
18,649.0,310.0,-391.0,72.0,9.219544457292887,15.902955700120653,126.45199999999998,15.902955700120653
19,1455.0,413.0,-409.0,-222.0,11.180339887498949,18.614617911738076,173.252,18.614617911738076
20,1090.0,1837.0,0.0,10.0,10.0,0.4,0.08000000000000002,0.4
21,1951.0,1247.0,-143.0,545.0,17.26267650163207,22.53793246950572,253.97920000000008,22.53793246950572
22,926.0,1517.0,165.0,-132.0,7.280109889280518,8.45212399341136,35.7192,8.45212399341136
23,922.0,1781.0,-257.0,-1489.0,2.0,60.440648573621374,1826.5359999999996,60.440648573621374
24,930.0,1778.0,-305.0,343.0,21.93171219946131,18.35969498657317,168.53920000000002,18.35969498657317
25,1399.0,504.0,-386.0,466.0,33.54101966249684,24.2041979829946,292.92159999999996,24.2041979829946
26,1615.0,1815.0,-199.0,-341.0,7.0,15.792757833893356,124.70559999999999,15.792757833893356
27,1224.0,289.0,450.0,-462.0,9.219544457292887,25.797488249827733,332.7552,25.797488249827733
28,473.0,1274.0,-115.0,-617.0,10.63014581273465,25.105027384968135,315.1312,25.105027384968135
29,1703.0,1299.0,-1031.0,536.0,5.0990195135927845,46.480223751612904,1080.2056000000002,46.480223751612904
30,709.0,1567.0,132.0,238.0,17.029386365926403,10.886174718421525,59.25439999999999,10.886174718421525
31,1993.0,1416.0,428.0,625.0,10.816653826391969,30.300072607173732,459.0472,30.300072607173732
32,1821.0,1542.0,1141.0,158.0,11.180339887498949,46.075503252813206,1061.476,46.075503252813206
33,873.0,1512.0,497.0,1479.0,8.94427190999916,62.410896484508214,1947.56,62.410896484508214
34,526.0,973.0,414.0,155.0,18.0,17.68257899742003,156.33679999999998,17.68257899742003
35,1251.0,270.0,-591.0,404.0,22.02271554554524,28.63555831479456,409.9976,28.63555831479456
36,507.0,976.0,-948.0,-564.0,13.601470508735444,44.123463146040564,973.4399999999999,44.123463146040564
37,930.0,1658.0,-62.0,1153.0,19.72308292331602,46.18663010006251,1066.6024,46.18663010006251
38,1985.0,1180.0,-239.0,43.0,9.219544457292887,9.713495766200756,47.17600000000001,9.713495766200756
39,995.0,1887.0,-507.0,-819.0,9.848857801796104,38.52915778991282,742.2479999999999,38.52915778991282
40,1748.0,1568.0,326.0,67.0,20.8806130178211,13.312550469387899,88.61199999999998,13.312550469387899
41,662.0,1655.0,119.0,1589.0,5.0990195135927845,63.73798867237654,2031.2656,63.73798867237654
42,558.0,1468.0,-680.0,-831.0,10.770329614269007,42.950408612724516,922.3688000000002,42.950408612724516
43,896.0,812.0,-56.0,-661.0,19.313207915827967,26.534716881851217,352.0456,26.534716881851217
44,523.0,1101.0,-206.0,133.0,21.18962010041709,9.808159868191384,48.10000000000001,9.808159868191384
45,592.0,1320.0,-321.0,-537.0,7.0710678118654755,25.025107392376963,313.12800000000004,25.025107392376963
46,1269.0,1799.0,1019.0,-573.0,9.0,46.76220696246062,1093.352,46.76220696246062
47,901.0,810.0,-11.0,1043.0,4.0,41.72232016559003,870.3760000000001,41.72232016559003
48,904.0,808.0,-495.0,-292.0,5.0,22.988310072730446,264.23120000000006,22.988310072730446
49,1956.0,1062.0,-639.0,1390.0,6.0,61.1937382417515,1872.3367999999998,61.1937382417515
50,492.0,1500.0,-16.0,-379.0,3.605551275463989,15.173503221075876,115.1176,15.173503221075876
51,1337.0,1877.0,12.0,-1077.0,12.083045973594572,43.082674011718446,928.0584,43.082674011718446
52,1328.0,1329.0,-193.0,-1064.0,5.656854249492381,43.254502655792955,935.4759999999999,43.254502655792955
53,1177.0,1607.0,184.0,355.0,7.0710678118654755,15.994048893260267,127.90479999999998,15.994048893260267
54,551.0,1518.0,-426.0,-140.0,17.804493814764857,17.936599454746155,160.86080000000004,17.936599454746155
55,1122.0,733.0,-1295.0,-32.0,15.033296378372908,51.81581225842166,1342.4392,51.81581225842166
56,548.0,972.0,73.0,-323.0,17.11724276862369,13.245859730496923,87.72640000000001,13.245859730496923
57,504.0,1298.0,-137.0,-724.0,14.142135623730951,29.473920675743155,434.35599999999994,29.473920675743155
58,1958.0,932.0,-527.0,-577.0,2.0,31.25784381559291,488.52639999999997,31.25784381559291
59,779.0,1526.0,490.0,674.0,3.0,33.33169062618936,555.5007999999999,33.33169062618936
60,553.0,968.0,322.0,-746.0,17.46424919657298,32.501076905235,528.1600000000001,32.501076905235
61,1037.0,1091.0,759.0,240.0,10.198039027185569,31.84163312394639,506.9448,31.84163312394639
62,686.0,1571.0,844.0,-720.0,10.63014581273465,44.37541661776258,984.5887999999998,44.37541661776258
63,809.0,1577.0,-67.0,-1070.0,1.0,42.88382445631452,919.5111999999997,42.88382445631452
64,645.0,1219.0,549.0,215.0,16.55294535724685,23.583926729872616,278.10080000000005,23.583926729872616
65,573.0,1386.0,-8.0,9.0,12.041594578792296,0.48166378315169184,0.116,0.48166378315169184
66,708.0,910.0,-454.0,168.0,8.0,19.36347076326969,187.472,19.36347076326969
67,534.0,969.0,-745.0,1429.0,9.0,64.4616599227789,2077.6528000000003,64.4616599227789
68,564.0,455.0,-238.0,-289.0,20.518284528683193,14.975446570970764,112.132,14.975446570970764
69,2021.0,765.0,65.0,260.0,22.80350850198276,10.720074626605918,57.46,10.720074626605918
70,739.0,889.0,421.0,838.0,21.470910553583888,37.51234463479989,703.588,37.51234463479989
71,1369.0,1659.0,48.0,150.0,6.708203932499369,6.29971427923521,19.8432,6.29971427923521
72,877.0,1388.0,2.0,-10.0,10.198039027185569,0.4079215610874228,0.0832,0.4079215610874228
73,468.0,1862.0,699.0,-582.0,4.0,36.38296304590928,661.8600000000001,36.38296304590928
74,474.0,1856.0,0.0,-371.0,7.0,14.84,110.1128,14.84
75,761.0,1239.0,214.0,-48.0,2.23606797749979,8.772684879784522,38.47999999999999,8.772684879784522
76,896.0,1811.0,262.0,873.0,7.810249675906654,36.4586999219665,664.6184,36.4586999219665
77,520.0,441.0,-16.0,-13.0,20.615528128088304,0.8246211251235321,0.34,0.8246211251235321
78,1248.0,578.0,803.0,655.0,3.1622776601683795,41.450384799178885,859.0672,41.450384799178885
79,571.0,568.0,-1566.0,1187.0,11.180339887498949,78.60101780511496,3089.06,78.60101780511496
80,1506.0,1467.0,1175.0,-1194.0,10.04987562112089,67.00759359953169,2245.0088,67.00759359953169
81,1193.0,1879.0,40.0,-246.0,7.615773105863909,9.969232668565821,49.692800000000005,9.969232668565821
82,503.0,945.0,477.0,927.0,1.0,41.700992793937175,869.4864000000001,41.700992793937175
83,502.0,941.0,-632.0,189.0,12.206555615733702,26.386208518845596,348.11599999999993,26.386208518845596
84,1238.0,1558.0,637.0,978.0,9.848857801796104,46.686237800876604,1089.8023999999998,46.686237800876604
85,882.0,864.0,57.0,-900.0,21.400934559032695,36.072127744284785,650.5992000000001,36.072127744284785
86,633.0,1547.0,297.0,733.0,9.0,31.635372607257214,500.39840000000004,31.635372607257214
87,627.0,381.0,-241.0,-238.0,6.4031242374328485,13.548431643551957,91.78,13.548431643551957
