,t,distance,speed,kinetic energy,momentum
0,0.04,0.0,0.0,0.0,0.0
1,0.08,13.60269580052637,35.314093684021785,731.102304,35.314093684021785
2,0.12,12.60291242987088,31.650173997438074,637.355232,31.650173997438074
3,0.16,13.239998139899223,34.42423649023425,706.16,34.42423649023425
4,0.2,12.415375933183823,31.50508577824017,629.785216,31.50508577824017
5,0.24,12.784964307751384,36.152278319043226,781.010496,36.152278319043226
6,0.28,12.588401983962363,32.06481847336424,648.737952,32.06481847336424
7,0.32,11.9903436320072,29.328037285282356,609.8986560000001,29.328037285282356
8,0.36,12.577397712020165,30.970241012843786,595.5919040000001,30.970241012843786
9,0.4,12.43074601233439,37.42106530535689,804.924704,37.42106530535689
10,0.44,12.448193137781594,29.519135450378293,616.668096,29.519135450378293
11,0.48,12.547003856925201,33.69944041463026,683.0831360000001,33.69944041463026
12,0.52,12.307620059641906,29.37744092118848,536.147104,29.37744092118848
13,0.56,12.94018706624993,35.52181244564926,778.5678720000001,35.52181244564926
14,0.6,12.400420694500578,33.60487204010335,737.032576,33.60487204010335
15,0.64,12.271946044119945,33.89566051021751,675.0570879999999,33.89566051021751
16,0.68,12.931141436381948,28.362415764301186,545.4922240000001,28.362415764301186
17,0.72,12.629056989484656,34.64257853003484,705.939232,34.64257853003484
18,0.76,12.738355885679717,28.761194975699574,493.26991999999996,28.761194975699574
19,0.8,12.412175987340149,33.95210377946682,680.6264639999999,33.95210377946682
20,0.84,12.526002807571873,36.803230403381065,848.9022719999999,36.803230403381065
21,0.88,13.029311385804954,31.44663167969907,606.857984,31.44663167969907
22,0.92,12.114965001819856,34.37035565236035,676.4910079999999,34.37035565236035
23,0.96,13.04394745008616,31.65173857359498,664.0684480000001,31.65173857359498
24,1.0,12.973047955064104,30.960157348290114,638.9124479999999,30.960157348290114
25,1.04,12.219370377970106,29.777761974384525,571.443328,29.777761974384525
26,1.08,12.347090364969281,33.7181578375911,671.57152,33.7181578375911
27,1.12,12.375441737155473,33.49175936139256,752.342592,33.49175936139256
28,1.16,12.013976271725687,29.69485132737577,575.138368,29.69485132737577
29,1.2,11.353510922176788,32.75537150622117,663.8583360000001,32.75537150622117
30,1.24,11.724718080655245,27.701926381330345,549.983872,27.701926381330345
31,1.28,11.340775613847164,30.225048688394203,584.69456,30.225048688394203
