,index,distance between t and t-1,speed,kinetic energy,momentum,mean free path
0,0.0,11.285209414965509,32.49972562346762,695.002502,32.49972562346762,5.499773384020112
1,1.0,11.920991262660321,32.39575233517905,668.056916,32.39575233517905,4.603051153490415
2,2.0,11.869308305503678,30.024292770558436,599.4456720000001,30.024292770558436,6.503996887606851
3,3.0,11.777465990499818,32.143402745453294,642.83023,32.143402745453294,6.33785522052126
4,4.0,11.519413834639032,31.62884127106997,647.488698,31.62884127106997,5.825029568031026
5,5.0,11.333544788028908,32.09354314628507,649.458242,32.09354314628507,5.106837462468788
6,6.0,11.675003775923829,32.318400329841744,676.2092600000001,32.318400329841744,5.710821125176996
7,7.0,12.038382017253975,31.905109346124426,651.8607499999999,31.905109346124426,6.663603162362065
8,8.0,12.209660503200821,31.93398929168797,647.0155460000001,31.93398929168797,6.829679935819481
9,9.0,11.988244835236458,32.7113775604591,675.5534765,32.7113775604591,6.80234306706006
10,10.0,11.89216412849836,32.642274526493665,697.9569845,32.642274526493665,4.827407035956465
11,11.0,12.029993251844857,31.615804799422605,637.440514,31.615804799422605,5.8178317791439005
12,12.0,11.240373235858396,32.60681685059983,666.4624979999999,32.60681685059983,4.759891775319269
13,13.0,11.737930962307301,32.15185103582502,649.619518,32.15185103582502,5.2307625909864495
14,14.0,11.6185675523553,32.47864374299567,681.486392,32.47864374299567,5.398611337067363
15,15.0,11.493202817032827,31.63337511575155,629.506088,31.63337511575155,5.902746773169845
16,16.0,11.939430466991507,32.66455085466744,674.61686,32.66455085466744,5.406494246281066
17,17.0,11.863791598824063,31.010242170075802,618.614272,31.010242170075802,5.362165943044204
18,18.0,11.756487132660995,30.965318182951478,620.722054,30.965318182951478,6.068337861322227
19,19.0,11.134235438264682,33.87488939107439,722.10772,33.87488939107439,5.054729253440466
20,20.0,12.120028653760189,32.50974749608641,692.561394,32.50974749608641,5.773950809914151
21,21.0,11.482667430777397,33.58048049182009,711.110814,33.58048049182009,5.478627905341245
22,22.0,11.620891178135514,32.54676685932591,686.54223,32.54676685932591,6.537909030174408
23,23.0,11.415256796500556,32.19691544934605,678.930104,32.19691544934605,5.836741157722197
24,24.0,10.437580840977711,28.500200294765683,593.678668,28.500200294765683,5.843524707582193
